physical_scenario_id,seed,offset_ms,requested_dropout_fraction,realized_dropout_fraction,degraded_frames,position_rmse_m,local_max_rmse_m,convergence_time_s,final_abs_residual_ms,tail_residual_rmse_ms,one_metre_availability,sustained_failure_onset_s
s20260805-zero-drop05,20260805,0,0.05,0.0458747004451,134,0.0591169087601,0.10028890317,0.499999523163,0.000275301982361,0.00141146235327,1,
s20260805-zero-drop10,20260805,0,0.1,0.101335159192,296,0.0787073611217,0.177368205934,0.499999523163,0.00245010413917,0.00279983746497,1,
s20260805-zero-drop15,20260805,0,0.15,0.151660390277,443,0.11444509233,0.247738800108,0.499999523163,0.0060339191461,0.00564421384878,1,
s20260805-zero-drop20,20260805,0,0.2,0.199246833276,582,0.0587206226256,0.10679086082,1.49999856949,0.00492500936217,0.00537653678673,1,
s20260805-pos10-drop05,20260805,10,0.05,0.0458747004451,134,0.0702283494813,0.123936230773,0.499999523163,0.000409968855556,0.00154436087961,1,
s20260805-pos10-drop10,20260805,10,0.1,0.101335159192,296,0.0800804871825,0.181599476884,0.699999332428,0.00223974921501,0.00257636502827,1,
s20260805-pos10-drop15,20260805,10,0.15,0.151660390277,443,0.124797452834,0.249413429553,0.699999332428,0.00648547730838,0.00613387074091,1,
s20260805-pos10-drop20,20260805,10,0.2,0.199246833276,582,0.0780710720875,0.146760173723,1.49999856949,0.00525592376343,0.00573564900755,1,
s20260805-pos20-drop05,20260805,20,0.05,0.0458747004451,134,0.0684846649086,0.118761072216,0.39999961853,0.000673883976114,0.00217659021564,1,
s20260805-pos20-drop10,20260805,20,0.1,0.101335159192,296,0.0690310112341,0.137780398081,0.699999332428,0.00514581376701,0.00447827952297,1,
s20260805-pos20-drop15,20260805,20,0.15,0.151660390277,443,0.1581571562,0.277310860547,0.699999332428,0.00686742041201,0.00655320970163,1,
s20260805-pos20-drop20,20260805,20,0.2,0.199246833276,582,0.128846630488,0.244464642242,1.39999866486,0.00591346908002,0.00640240348933,1,
