scenario_id,profile,drift_span_ms,dropout_fraction,label,alert_detected,alert_time_s,active_channels_at_alert,degradation_onset_s,lead_time_s,positive_lead_time,maximum_velocity_rms_ms_per_s,maximum_acceleration_rms_ms_per_s2,maximum_peak_to_peak_ms,parent_position_rmse_m,parent_local_max_rmse_m,parent_one_metre_availability,parent_final_abs_residual_ms
piecewiserandomwalk-span20-drop10,piecewise-random-walk,20.0,0.1,dynamic-secondary,False,,,61.49994134902954,,False,63.69489561171855,997.5743664413924,12.738966973506503,257.2000575018499,1060.0849253861425,0.6008216364258816,13.890903757681114
sinusoidalslow-span05-drop00,sinusoidal-slow,5.0,0.0,early-warning-positive,False,,,204.29980516433716,,False,25.314397988465736,455.7478145624402,4.473202772042405,0.2022996672276908,0.4643561432065812,1.0,0.1575660977234023
sinusoidalslow-span05-drop10,sinusoidal-slow,5.0,0.1,early-warning-positive,False,,,206.6998028755188,,False,48.65756128133444,873.4700644643752,8.406727267188435,0.25762937394753666,0.6106862374198133,1.0,0.13551348858372272
sinusoidalslow-span10-drop00,sinusoidal-slow,10.0,0.0,dynamic-secondary,False,,,171.899836063385,,False,26.581935254299037,479.9263561174813,4.83256474866048,0.4967891406443273,1.0209945552191144,0.984251968503937,1.2149775349305334
sinusoidalslow-span10-drop10,sinusoidal-slow,10.0,0.1,dynamic-secondary,True,11.199989318847656,"estimated_offset_velocity_rms,estimated_offset_peak_to_peak",203.69980573654175,192.4998164176941,True,31.740762642665537,574.1599341201797,6.082461340090407,0.5185798983537127,1.2781351502817289,0.9479630263608353,1.2959364218929657
sinusoidalslow-span20-drop00,sinusoidal-slow,20.0,0.0,dynamic-secondary,True,11.199989318847656,"estimated_offset_velocity_rms,estimated_offset_peak_to_peak",79.99992370605469,68.79993438720703,True,29.188699344934445,528.0275447094419,5.543175206593501,126.53841878467715,522.1746740218169,0.6086956521739131,4.862972615529954
sinusoidalslow-span20-drop10,sinusoidal-slow,20.0,0.1,dynamic-secondary,True,11.199989318847656,"estimated_offset_velocity_rms,estimated_offset_acceleration_rms,estimated_offset_peak_to_peak",60.39994239807129,49.19995307922363,True,33.97228784232968,613.4189507601075,6.711584764695613,183.80907948245206,769.14197756733,0.6408764121876069,4.922756210965469
static-neg10-drop00,static-control,0.0,0.0,static-negative,False,,,,,False,28.25002152597533,250.81600939832154,10.3429241332378,0.03261602719501927,0.06022274602397974,1.0,0.005158576104922347
static-neg10-drop10,static-control,0.0,0.1,static-negative,False,,,,,False,39.46385022929857,570.0475082959972,10.28315585039981,0.09868195899600413,0.14169943291882334,1.0,0.0076970290495692595
static-pos10-drop00,static-control,0.0,0.0,static-negative,False,,,,,False,61.70685731279194,965.4839563087422,12.341359692909394,0.047967203104422686,0.10900421426512093,1.0,0.006009267632138202
static-pos10-drop10,static-control,0.0,0.1,static-negative,False,,,,,False,65.84288884395572,1027.0392304290667,13.168565210256743,0.09502665446650993,0.14552906749670838,1.0,0.004284834755672803
static-zero-drop00,static-control,0.0,0.0,static-negative,False,,,,,False,24.08967944010342,431.700007210379,4.30538743899666,0.04541064427158661,0.1019899184138496,1.0,0.004138384566862698
static-zero-drop10,static-control,0.0,0.1,static-negative,False,,,,,False,48.05392876374039,860.0163564300002,8.502163122141463,0.06435379020812297,0.09646870057551837,1.0,0.0015990557026638714
